date,block,beds,psf,area,price
2017-03-01,12,1,1511,538,813000
2017-03-01,12,1,1531,420,643000
2017-03-01,8,3,1346,1227,1652000
2017-02-01,12,1,1552,420,652000
2017-02-01,8,3,1371,1184,1623000
2017-02-01,6,3,1358,1184,1608000
2017-02-01,2,3,1396,1184,1653000
2017-02-01,12,1,1560,420,655000
2017-02-01,8,3,1375,1184,1628000
2017-02-01,2,3,1410,969,1366000
2017-02-01,12,1,1545,420,649000
2017-02-01,2,3,1368,1152,1576000
2017-02-01,12,1,1524,420,640000
2017-02-01,12,1,1169,592,692000
2017-02-01,12,1,1461,538,786000
2017-02-01,12,1,1169,592,692000
2017-02-01,6,3,1388,1184,1643000
2016-12-01,12,1,1571,420,660000
2016-12-01,12,1,1550,420,651000
2016-12-01,6,3,1365,1227,1675000
2016-12-01,8,4,1309,1485,1944000
2016-12-01,12,1,1545,420,649000
2016-12-01,12,1,1472,538,792000
2016-12-01,12,1,1182,592,700000
2016-12-01,12,2,1446,807,1167000
2016-11-01,12,1,1040,850,884000
2016-11-01,8,2,1340,1205,1615000
2016-11-01,2,3,1361,1151,1566000
2016-11-01,12,1,1524,420,640000
2016-11-01,12,1,1538,420,646000
2016-11-01,8,3,1312,1152,1511000
2016-11-01,4,3,1384,1108,1534000
2016-11-01,12,1,1524,420,640000
2016-11-01,12,1,1531,420,643000
2016-11-01,8,4,1305,1529,1995000
2016-11-01,12,1,1517,420,637000
2016-11-01,6,3,1369,1227,1680000
2016-11-01,12,1,1502,420,631000
2016-11-01,12,1,1517,420,637000
2016-11-01,12,1,1494,538,804000
2016-11-01,8,3,1348,1151,1551000
2016-10-01,12,1,1510,420,634000
2016-10-01,12,1,1517,420,637000
2016-10-01,12,1,1472,538,792000
2016-10-01,2,3,1338,1152,1541000
2016-10-01,12,1,1506,538,810000
2016-10-01,12,1,1531,420,643000
2016-10-01,12,1,1522,538,819000
2016-10-01,12,1,1483,538,798000
2016-10-01,12,1,1494,538,804000
2016-10-01,12,1,1510,420,634000
2016-10-01,12,1,1552,420,652000
2016-10-01,12,1,1502,420,631000
2016-10-01,2,3,1329,1152,1531000
2016-09-01,8,3,1368,1152,1576000
2016-09-01,12,2,1406,807,1135000
2016-09-01,2,3,1394,1184,1651000
2016-09-01,12,1,1455,538,783000
2016-09-01,12,1,1545,420,649000
2016-09-01,12,1,1552,420,652000
2016-09-01,12,1,1040,850,884000
2016-09-01,12,1,1502,420,631000
2016-09-01,6,4,1318,1464,1930000
2016-09-01,12,1,1531,420,643000
2016-09-01,12,1,1488,420,625000
2016-09-01,12,1,1483,538,798000
2016-09-01,12,1,1543,420,648000
2016-09-01,12,1,1495,420,628000
2016-09-01,6,3,1378,1184,1631000
2016-08-01,2,3,1348,1151,1551000
2016-08-01,12,1,1455,538,783000
2016-08-01,12,1,1495,420,628000
2016-08-01,12,1,1510,420,634000
